"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
389,"m0",0.23,0.004,55.154,0,0.996,0.06,9,100
389,"K",6.145,0.147,41.748,0,0.996,0.06,9,100
390,"theta",25746.704,741974.009,0.035,0.973,0.995,0.06,10,100
390,"m0",0.23,0.005,44.735,0,0.995,0.06,10,100
390,"K",6.473,0.174,37.104,0,0.995,0.06,10,100
391,"theta",24978.466,1393772.233,0.018,0.986,0.995,0.06,11,100
391,"m0",0.229,0.008,27.53,0,0.995,0.06,11,100
391,"K",6.836,0.187,36.544,0,0.995,0.06,11,100
392,"theta",21702.637,1659581.772,0.013,0.99,0.993,0.06,12,100
392,"m0",0.22,0.01,22.399,0,0.993,0.06,12,100
392,"K",7.435,0.191,39.02,0,0.993,0.06,12,100
393,"theta",33384.335,925907.059,0.036,0.972,0.994,0.06,13,100
393,"m0",0.212,0.005,46.408,0,0.994,0.06,13,100
393,"K",8.004,0.186,42.969,0,0.994,0.06,13,100
394,"theta",28320.61,784865.525,0.036,0.972,0.996,0.06,14,100
394,"m0",0.209,0.004,51.527,0,0.996,0.06,14,100
394,"K",8.352,0.143,58.509,0,0.996,0.06,14,100
395,"theta",38505.761,944652.252,0.041,0.968,0.995,0.06,15,100
395,"m0",0.205,0.004,48.826,0,0.995,0.06,15,100
395,"K",8.751,0.228,38.364,0,0.995,0.06,15,100
396,"theta",81393.51,739198.427,0.11,0.914,0.996,0.06,16,100
396,"m0",0.199,0.003,64.322,0,0.996,0.06,16,100
396,"K",9.233,0.147,62.825,0,0.996,0.06,16,100
397,"theta",22844.966,1576284.41,0.014,0.989,0.998,0.06,17,100
397,"m0",0.199,0.008,23.805,0,0.998,0.06,17,100
397,"K",9.351,0.154,60.82,0,0.998,0.06,17,100
398,"theta",2081.707,37784.404,0.055,0.957,0.995,0.06,18,100
398,"m0",0.195,0.023,8.396,0,0.995,0.06,18,100
398,"K",9.919,0.271,36.596,0,0.995,0.06,18,100
399,"theta",76664.309,787325.649,0.097,0.924,0.997,0.06,19,100
399,"m0",0.192,0.003,71.784,0,0.997,0.06,19,100
399,"K",10.173,0.132,77.305,0,0.997,0.06,19,100
400,"theta",24571.929,1454366.305,0.017,0.987,0.997,0.06,20,100
400,"m0",0.183,0.006,29.073,0,0.997,0.06,20,100
400,"K",10.731,0.151,70.938,0,0.997,0.06,20,100
