"migration_rate","area","niches","mean_sp"
0.012,19,1,1.73
0.012,20,20,12.41
0.012,20,10,7.56
0.012,20,5,4.58
0.012,20,4,4
0.012,20,2,2.52
0.012,20,1,1.71
0.012,21,7,5.98
0.012,21,3,3.39
0.015,1,1,1
0.015,2,2,1.92
0.015,2,1,1.01
0.015,3,3,2.76
0.015,3,1,1.05
0.015,4,4,3.59
0.015,4,2,2
0.015,4,1,1.11
0.015,5,5,4.4
0.015,5,1,1.18
0.015,6,6,5.04
0.015,6,3,2.76
0.015,6,2,2.04
0.015,6,1,1.2
0.015,7,7,5.65
0.015,7,1,1.24
0.015,8,8,6.32
0.015,8,4,3.68
0.015,8,2,2.13
0.015,8,1,1.32
0.015,9,9,6.82
0.015,9,3,2.89
0.015,9,1,1.46
0.015,10,10,7.55
0.015,10,5,4.54
0.015,10,2,2.13
0.015,10,1,1.34
0.015,11,11,8.24
0.015,11,1,1.41
0.015,12,12,8.71
0.015,12,6,5.12
0.015,12,4,3.79
0.015,12,3,3.11
0.015,12,2,2.24
0.015,12,1,1.47
0.015,13,13,9.32
0.015,13,1,1.56
0.015,14,14,9.79
0.015,14,7,5.95
0.015,14,2,2.37
0.015,14,1,1.58
0.015,15,15,10.19
0.015,15,5,4.61
0.015,15,3,3.18
0.015,15,1,1.65
0.015,16,16,10.81
0.015,16,8,6.32
0.015,16,4,3.88
0.015,16,2,2.49
0.015,16,1,1.78
0.015,17,17,11.11
0.015,17,1,1.8
0.015,18,18,11.26
0.015,18,9,7.18
0.015,18,6,5.5
0.015,18,3,3.31
0.015,18,2,2.59
0.015,18,1,1.82
0.015,19,19,11.84
0.015,19,1,2.01
0.015,20,20,12.32
0.015,20,10,7.88
0.015,20,5,4.72
0.015,20,4,4.05
0.015,20,2,2.79
0.015,20,1,1.84
0.015,21,7,6.19
0.015,21,3,3.37
0.018,1,1,1
0.018,2,2,1.9
0.018,2,1,1.05
0.018,3,3,2.82
0.018,3,1,1.06
0.018,4,4,3.48
0.018,4,2,2.01
0.018,4,1,1.09
0.018,5,5,4.36
0.018,5,1,1.18
0.018,6,6,4.89
0.018,6,3,2.79
0.018,6,2,2.07
0.018,6,1,1.24
0.018,7,7,5.73
0.018,7,1,1.29
0.018,8,8,6.22
0.018,8,4,3.79
0.018,8,2,2.09
0.018,8,1,1.45
0.018,9,9,6.9
0.018,9,3,2.96
0.018,9,1,1.36
0.018,10,10,7.35
0.018,10,5,4.45
0.018,10,2,2.29
0.018,10,1,1.45
0.018,11,11,7.99
0.018,11,1,1.54
0.018,12,12,8.69
0.018,12,6,5.22
0.018,12,4,3.82
0.018,12,3,3.15
0.018,12,2,2.24
0.018,12,1,1.64
0.018,13,13,9.03
0.018,13,1,1.58
0.018,14,14,9.54
0.018,14,7,6.1
0.018,14,2,2.44
0.018,14,1,1.72
0.018,15,15,10.01
0.018,15,5,4.72
0.018,15,3,3.18
0.018,15,1,1.8
0.018,16,16,10.4
0.018,16,8,6.61
0.018,16,4,3.99
0.018,16,2,2.54
0.018,16,1,1.86
0.018,17,17,10.86
0.018,17,1,1.94
0.018,18,18,11.3
0.018,18,9,7.13
0.018,18,6,5.21
0.018,18,3,3.37
0.018,18,2,2.6
0.018,18,1,1.87
0.018,19,19,12
0.018,19,1,2
0.018,20,20,12.33
0.018,20,10,7.8
0.018,20,5,4.93
0.018,20,4,4.29
0.018,20,2,2.75
0.018,20,1,1.95
0.018,21,7,6.05
0.018,21,3,3.6
0.021,1,1,1
0.021,2,2,1.95
0.021,2,1,1.05
0.021,3,3,2.72
0.021,3,1,1.13
0.021,4,4,3.53
0.021,4,2,1.96
0.021,4,1,1.17
0.021,5,5,4.3
0.021,5,1,1.23
0.021,6,6,4.97
0.021,6,3,2.91
0.021,6,2,2.08
0.021,6,1,1.27
0.021,7,7,5.78
0.021,7,1,1.36
0.021,8,8,6.38
0.021,8,4,3.66
0.021,8,2,2.19
0.021,8,1,1.39
0.021,9,9,7.31
0.021,9,3,3.03
0.021,9,1,1.51
0.021,10,10,7.56
0.021,10,5,4.54
0.021,10,2,2.22
0.021,10,1,1.54
0.021,11,11,8.05
0.021,11,1,1.56
0.021,12,12,8.76
0.021,12,6,5.25
0.021,12,4,3.73
0.021,12,3,3.11
0.021,12,2,2.32
0.021,12,1,1.6
0.021,13,13,9.17
0.021,13,1,1.73
0.021,14,14,9.67
0.021,14,7,5.95
0.021,14,2,2.43
0.021,14,1,1.85
0.021,15,15,10.18
0.021,15,5,4.74
0.021,15,3,3.4
0.021,15,1,1.87
0.021,16,16,10.71
0.021,16,8,6.13
0.021,16,4,4.17
0.021,16,2,2.6
0.021,16,1,2.04
0.021,17,17,10.78
0.021,17,1,2
0.021,18,18,11.29
0.021,18,9,7.24
0.021,18,6,5.39
0.021,18,3,3.3
0.021,18,2,2.85
0.021,18,1,2.07
0.021,19,19,11.61
0.021,19,1,2.14
0.021,20,20,12.28
0.021,20,10,7.6
0.021,20,5,4.8
0.021,20,4,4.25
0.021,20,2,2.84
0.021,20,1,2.27
0.021,21,7,6.18
0.021,21,3,3.67
0.024,1,1,1
0.024,2,2,1.93
0.024,2,1,1.04
0.024,3,3,2.77
0.024,3,1,1.11
0.024,4,4,3.53
0.024,4,2,1.97
0.024,4,1,1.17
0.024,5,5,4.23
0.024,5,1,1.25
0.024,6,6,4.97
0.024,6,3,2.93
0.024,6,2,2.07
0.024,6,1,1.26
0.024,7,7,5.71
0.024,7,1,1.36
0.024,8,8,6.2
0.024,8,4,3.71
0.024,8,2,2.26
0.024,8,1,1.5
0.024,9,9,7.08
0.024,9,3,3.01
0.024,9,1,1.46
0.024,10,10,7.44
0.024,10,5,4.62
0.024,10,2,2.4
0.024,10,1,1.42
0.024,11,11,8.26
0.024,11,1,1.74
0.024,12,12,8.59
0.024,12,6,5.17
0.024,12,4,4.01
0.024,12,3,3.32
0.024,12,2,2.5
0.024,12,1,1.66
0.024,13,13,9.03
0.024,13,1,1.71
0.024,14,14,9.6
0.024,14,7,6.01
0.024,14,2,2.59
0.024,14,1,1.94
0.024,15,15,10.11
0.024,15,5,4.78
0.024,15,3,3.28
0.024,15,1,2.05
0.024,16,16,10.64
0.024,16,8,6.69
0.024,16,4,4.09
0.024,16,2,2.7
0.024,16,1,2.14
0.024,17,17,10.83
0.024,17,1,2.11
0.024,18,18,11.19
0.024,18,9,7.15
0.024,18,6,5.35
0.024,18,3,3.42
0.024,18,2,2.72
0.024,18,1,2.09
0.024,19,19,11.69
0.024,19,1,2.31
0.024,20,20,12.31
0.024,20,10,7.9
0.024,20,5,5
0.024,20,4,4.22
0.024,20,2,2.93
0.024,20,1,2.3
0.024,21,7,6.16
0.024,21,3,3.8
0.027,1,1,1
0.027,2,2,1.92
0.027,2,1,1.04
0.027,3,3,2.85
0.027,3,1,1.2
0.027,4,4,3.55
0.027,4,2,2.01
0.027,4,1,1.2
0.027,5,5,4.27
0.027,5,1,1.19
0.027,6,6,4.91
0.027,6,3,2.91
0.027,6,2,2.13
0.027,6,1,1.41
0.027,7,7,5.64
0.027,7,1,1.39
0.027,8,8,6.25
0.027,8,4,3.71
0.027,8,2,2.26
0.027,8,1,1.47
0.027,9,9,6.81
0.027,9,3,3.07
0.027,9,1,1.52
0.027,10,10,7.44
0.027,10,5,4.57
0.027,10,2,2.27
0.027,10,1,1.63
0.027,11,11,7.96
0.027,11,1,1.87
0.027,12,12,8.6
0.027,12,6,5.33
0.027,12,4,4.02
0.027,12,3,3.23
0.027,12,2,2.6
0.027,12,1,1.79
0.027,13,13,8.91
0.027,13,1,1.88
0.027,14,14,9.48
0.027,14,7,5.83
0.027,14,2,2.67
0.027,14,1,1.85
0.027,15,15,10.19
0.027,15,5,4.71
0.027,15,3,3.4
0.027,15,1,2.02
0.027,16,16,10.44
0.027,16,8,6.45
0.027,16,4,4.2
0.027,16,2,2.86
0.027,16,1,2.03
0.027,17,17,11.01
0.027,17,1,2.28
0.027,18,18,11.63
0.027,18,9,7.25
0.027,18,6,5.55
0.027,18,3,3.59
0.027,18,2,3.05
0.027,18,1,2.28
0.027,19,19,11.65
0.027,19,1,2.3
0.027,20,20,11.91
0.027,20,10,7.82
0.027,20,5,5.08
0.027,20,4,4.35
0.027,20,2,3.15
0.027,20,1,2.43
0.027,21,7,6.16
0.027,21,3,3.62
0.03,1,1,1
0.03,2,2,1.9
0.03,2,1,1.07
0.03,3,3,2.76
0.03,3,1,1.07
0.03,4,4,3.62
0.03,4,2,2
0.03,4,1,1.23
0.03,5,5,4.27
0.03,5,1,1.3
0.03,6,6,4.92
0.03,6,3,2.88
0.03,6,2,2.13
0.03,6,1,1.42
0.03,7,7,5.77
0.03,7,1,1.39
0.03,8,8,6.26
0.03,8,4,3.71
0.03,8,2,2.34
0.03,8,1,1.46
0.03,9,9,7.06
0.03,9,3,3.06
0.03,9,1,1.54
0.03,10,10,7.5
0.03,10,5,4.65
0.03,10,2,2.4
0.03,10,1,1.73
0.03,11,11,7.96
0.03,11,1,1.72
0.03,12,12,8.47
0.03,12,6,5.3
0.03,12,4,3.87
0.03,12,3,3.25
0.03,12,2,2.36
0.03,12,1,1.81
0.03,13,13,9.21
0.03,13,1,1.92
0.03,14,14,9.71
0.03,14,7,5.88
0.03,14,2,2.73
0.03,14,1,2.06
0.03,15,15,10.16
0.03,15,5,4.71
0.03,15,3,3.56
0.03,15,1,2.1
0.03,16,16,10.2
0.03,16,8,6.47
0.03,16,4,4.25
0.03,16,2,2.99
0.03,16,1,2.24
0.03,17,17,10.64
0.03,17,1,2.28
0.03,18,18,11.19
0.03,18,9,7.2
0.03,18,6,5.76
0.03,18,3,3.55
0.03,18,2,3.11
0.03,18,1,2.56
0.03,19,19,11.81
0.03,19,1,2.62
0.03,20,20,11.89
0.03,20,10,7.71
0.03,20,5,5
0.03,20,4,4.6
0.03,20,2,3.26
0.03,20,1,2.62
0.03,21,7,6.11
0.03,21,3,3.84
0.033,1,1,1
0.033,2,2,1.94
0.033,2,1,1.08
0.033,3,3,2.76
0.033,3,1,1.17
0.033,4,4,3.5
0.033,4,2,1.98
0.033,4,1,1.27
0.033,5,5,4.26
0.033,5,1,1.32
0.033,6,6,5.11
0.033,6,3,2.93
0.033,6,2,2.15
0.033,6,1,1.42
0.033,7,7,5.59
0.033,7,1,1.43
0.033,8,8,6.08
0.033,8,4,3.83
0.033,8,2,2.46
0.033,8,1,1.69
0.033,9,9,6.87
0.033,9,3,3.09
0.033,9,1,1.71
0.033,10,10,7.48
0.033,10,5,4.45
0.033,10,2,2.39
0.033,10,1,1.84
0.033,11,11,8.03
0.033,11,1,1.81
0.033,12,12,8.55
0.033,12,6,5.17
0.033,12,4,4
0.033,12,3,3.37
0.033,12,2,2.59
0.033,12,1,1.9
0.033,13,13,9.11
0.033,13,1,1.92
0.033,14,14,9.39
0.033,14,7,5.87
0.033,14,2,2.79
0.033,14,1,2.11
0.033,15,15,9.62
0.033,15,5,4.89
0.033,15,3,3.57
0.033,15,1,2.45
0.033,16,16,10.32
0.033,16,8,6.63
0.033,16,4,4.33
0.033,16,2,2.86
0.033,16,1,2.22
0.033,17,17,10.59
0.033,17,1,2.37
0.033,18,18,11.19
0.033,18,9,7.36
0.033,18,6,5.65
0.033,18,3,3.87
0.033,18,2,3.17
0.033,18,1,2.67
0.033,19,19,11.67
0.033,19,1,2.48
0.033,20,20,11.93
0.033,20,10,7.62
0.033,20,5,5.12
0.033,20,4,4.36
0.033,20,2,3.37
0.033,20,1,2.65
0.033,21,7,6.22
0.033,21,3,3.73
0.036,1,1,1
0.036,2,2,1.86
0.036,2,1,1.07
0.036,3,3,2.75
0.036,3,1,1.15
0.036,4,4,3.55
0.036,4,2,1.95
0.036,4,1,1.23
0.036,5,5,4.22
0.036,5,1,1.27
0.036,6,6,5.02
0.036,6,3,3.02
0.036,6,2,2.13
0.036,6,1,1.42
0.036,7,7,5.67
0.036,7,1,1.52
0.036,8,8,6.29
0.036,8,4,3.76
0.036,8,2,2.27
0.036,8,1,1.69
0.036,9,9,6.77
0.036,9,3,3.28
0.036,9,1,1.8
0.036,10,10,7.46
0.036,10,5,4.5
0.036,10,2,2.5
0.036,10,1,1.78
0.036,11,11,7.85
0.036,11,1,1.89
0.036,12,12,8.66
0.036,12,6,5.2
0.036,12,4,3.91
0.036,12,3,3.51
0.036,12,2,2.66
0.036,12,1,2.03
0.036,13,13,9.04
0.036,13,1,2.09
0.036,14,14,9.51
0.036,14,7,5.97
0.036,14,2,3.15
0.036,14,1,2.19
0.036,15,15,9.78
0.036,15,5,4.93
0.036,15,3,3.51
0.036,15,1,2.29
0.036,16,16,10.49
0.036,16,8,6.62
0.036,16,4,4.26
0.036,16,2,3.01
0.036,16,1,2.52
0.036,17,17,10.86
0.036,17,1,2.36
0.036,18,18,11.32
0.036,18,9,7.27
0.036,18,6,5.67
0.036,18,3,3.95
0.036,18,2,3.26
0.036,18,1,2.76
0.036,19,19,11.75
0.036,19,1,2.69
0.036,20,20,11.86
0.036,20,10,7.73
0.036,20,5,5.29
0.036,20,4,4.75
0.036,20,2,3.38
0.036,20,1,3.03
0.036,21,7,6.47
0.036,21,3,4.16
0.039,1,1,1
0.039,2,2,1.94
0.039,2,1,1.06
0.039,3,3,2.75
0.039,3,1,1.11
0.039,4,4,3.59
0.039,4,2,2
0.039,4,1,1.25
0.039,5,5,4.39
0.039,5,1,1.38
0.039,6,6,4.93
0.039,6,3,2.87
0.039,6,2,2.22
0.039,6,1,1.47
0.039,7,7,5.74
0.039,7,1,1.49
0.039,8,8,6.32
0.039,8,4,3.7
0.039,8,2,2.43
0.039,8,1,1.69
0.039,9,9,6.92
0.039,9,3,3.12
0.039,9,1,1.71
0.039,10,10,7.54
0.039,10,5,4.5
0.039,10,2,2.56
0.039,10,1,1.94
0.039,11,11,8.04
0.039,11,1,1.89
0.039,12,12,8.56
0.039,12,6,5.16
0.039,12,4,4.08
0.039,12,3,3.55
0.039,12,2,2.83
0.039,12,1,2.06
0.039,13,13,9.22
0.039,13,1,2.1
0.039,14,14,9.42
0.039,14,7,6.03
0.039,14,2,2.8
0.039,14,1,2.22
0.039,15,15,9.87
0.039,15,5,4.92
0.039,15,3,3.74
0.039,15,1,2.5
0.039,16,16,10.25
0.039,16,8,6.68
0.039,16,4,4.31
0.039,16,2,3.12
0.039,16,1,2.43
0.039,17,17,10.7
0.039,17,1,2.74
0.039,18,18,11.25
0.039,18,9,7.13
0.039,18,6,5.6
0.039,18,3,3.99
0.039,18,2,3.35
0.039,18,1,2.79
0.039,19,19,11.74
0.039,19,1,2.82
0.039,20,20,11.79
0.039,20,10,8.05
0.039,20,5,5.13
0.039,20,4,4.59
0.039,20,2,3.57
0.039,20,1,3.05
0.039,21,7,6.37
0.039,21,3,4.39
0.042,1,1,1
0.042,2,2,1.84
0.042,2,1,1.08
0.042,3,3,2.75
0.042,3,1,1.08
0.042,4,4,3.55
0.042,4,2,2.02
0.042,4,1,1.29
0.042,5,5,4.32
0.042,5,1,1.39
0.042,6,6,4.83
0.042,6,3,2.93
0.042,6,2,2.29
0.042,6,1,1.46
0.042,7,7,5.51
0.042,7,1,1.59
0.042,8,8,6.3
0.042,8,4,3.78
0.042,8,2,2.28
0.042,8,1,1.82
0.042,9,9,6.63
0.042,9,3,3.13
0.042,9,1,2.03
0.042,10,10,7.36
0.042,10,5,4.79
0.042,10,2,2.67
0.042,10,1,2
0.042,11,11,7.97
0.042,11,1,2.05
0.042,12,12,8.45
0.042,12,6,5.25
0.042,12,4,3.96
0.042,12,3,3.57
0.042,12,2,2.75
0.042,12,1,2.07
0.042,13,13,9.03
0.042,13,1,2.22
0.042,14,14,9.25
0.042,14,7,6.07
0.042,14,2,2.9
0.042,14,1,2.41
0.042,15,15,10.14
0.042,15,5,4.92
0.042,15,3,3.85
0.042,15,1,2.64
0.042,16,16,10.29
0.042,16,8,6.69
0.042,16,4,4.49
0.042,16,2,3.13
0.042,16,1,2.46
0.042,17,17,10.71
0.042,17,1,2.64
0.042,18,18,11.11
0.042,18,9,7.27
0.042,18,6,5.72
0.042,18,3,4
0.042,18,2,3.4
0.042,18,1,2.91
0.042,19,19,11.54
0.042,19,1,2.9
0.042,20,20,12.14
0.042,20,10,7.99
0.042,20,5,5.33
0.042,20,4,4.7
0.042,20,2,3.67
0.042,20,1,3.03
0.042,21,7,6.68
0.042,21,3,4.25
0.045,1,1,1
0.045,2,2,1.93
0.045,2,1,1.09
0.045,3,3,2.81
0.045,3,1,1.19
0.045,4,4,3.61
0.045,4,2,2.08
0.045,4,1,1.29
0.045,5,5,4.27
0.045,5,1,1.46
0.045,6,6,5.11
0.045,6,3,3.1
0.045,6,2,2.26
0.045,6,1,1.56
0.045,7,7,5.59
0.045,7,1,1.57
0.045,8,8,6.4
0.045,8,4,3.78
0.045,8,2,2.45
0.045,8,1,1.82
0.045,9,9,6.7
0.045,9,3,3.43
0.045,9,1,1.95
0.045,10,10,7.41
0.045,10,5,4.62
0.045,10,2,2.63
0.045,10,1,1.91
0.045,11,11,7.85
0.045,11,1,2.03
0.045,12,12,8.62
0.045,12,6,5.36
0.045,12,4,4.12
0.045,12,3,3.62
0.045,12,2,2.92
0.045,12,1,2.32
0.045,13,13,8.85
0.045,13,1,2.2
0.045,14,14,9.11
0.045,14,7,5.82
0.045,14,2,2.93
0.045,14,1,2.39
0.045,15,15,9.94
0.045,15,5,4.93
0.045,15,3,3.66
0.045,15,1,2.5
0.045,16,16,10.26
0.045,16,8,6.76
0.045,16,4,4.32
0.045,16,2,3.19
0.045,16,1,2.73
0.045,17,17,10.63
0.045,17,1,2.63
0.045,18,18,11.2
0.045,18,9,7.25
0.045,18,6,5.66
0.045,18,3,4.22
0.045,18,2,3.41
0.045,18,1,2.85
0.045,19,19,11.45
0.045,19,1,2.98
0.045,20,20,11.82
0.045,20,10,7.81
0.045,20,5,5.28
0.045,20,4,4.57
0.045,20,2,3.61
0.045,20,1,2.84
0.045,21,7,6.25
0.045,21,3,4.2
0.048,1,1,1
0.048,2,2,1.9
0.048,2,1,1.08
0.048,3,3,2.66
0.048,3,1,1.15
0.048,4,4,3.67
0.048,4,2,2.13
0.048,4,1,1.35
0.048,5,5,4.31
0.048,5,1,1.43
0.048,6,6,5.16
0.048,6,3,3.01
0.048,6,2,2.37
0.048,6,1,1.53
0.048,7,7,5.65
0.048,7,1,1.64
0.048,8,8,6.33
0.048,8,4,3.71
0.048,8,2,2.34
0.048,8,1,1.88
0.048,9,9,6.82
0.048,9,3,3.13
0.048,9,1,1.82
0.048,10,10,7.51
0.048,10,5,4.6
0.048,10,2,2.64
0.048,10,1,1.99
0.048,11,11,7.77
0.048,11,1,2.09
0.048,12,12,8.26
0.048,12,6,5.35
0.048,12,4,4.13
0.048,12,3,3.42
0.048,12,2,2.88
0.048,12,1,2.07
0.048,13,13,8.96
0.048,13,1,2.33
0.048,14,14,9.3
0.048,14,7,5.95
0.048,14,2,3.12
0.048,14,1,2.46
0.048,15,15,10.01
0.048,15,5,5.13
0.048,15,3,3.97
0.048,15,1,2.5
0.048,16,16,10.2
0.048,16,8,6.85
0.048,16,4,4.56
0.048,16,2,3.31
0.048,16,1,2.65
0.048,17,17,10.74
0.048,17,1,2.7
0.048,18,18,11.3
0.048,18,9,7.35
0.048,18,6,5.71
0.048,18,3,3.85
0.048,18,2,3.46
0.048,18,1,3.08
0.048,19,19,11.51
0.048,19,1,3.1
0.048,20,20,11.89
0.048,20,10,8.13
0.048,20,5,5.52
0.048,20,4,4.79
0.048,20,2,3.85
0.048,20,1,2.93
0.048,21,7,6.51
0.048,21,3,4.4
0.051,1,1,1
0.051,2,2,1.92
0.051,2,1,1.11
0.051,3,3,2.74
0.051,3,1,1.16
0.051,4,4,3.46
0.051,4,2,2.11
0.051,4,1,1.35
0.051,5,5,4.17
0.051,5,1,1.4
0.051,6,6,4.98
0.051,6,3,2.95
0.051,6,2,2.24
0.051,6,1,1.62
0.051,7,7,5.71
0.051,7,1,1.59
0.051,8,8,6.08
0.051,8,4,3.83
0.051,8,2,2.54
0.051,8,1,1.84
0.051,9,9,6.76
0.051,9,3,3.36
0.051,9,1,2.02
0.051,10,10,7.71
0.051,10,5,4.59
0.051,10,2,2.72
0.051,10,1,2.12
0.051,11,11,8.06
0.051,11,1,2.35
0.051,12,12,8.39
0.051,12,6,5.44
0.051,12,4,4.17
0.051,12,3,3.44
0.051,12,2,3.07
0.051,12,1,2.23
0.051,13,13,8.69
0.051,13,1,2.52
0.051,14,14,9.27
0.051,14,7,5.98
0.051,14,2,3.18
0.051,14,1,2.66
0.051,15,15,9.92
0.051,15,5,4.92
0.051,15,3,3.8
0.051,15,1,2.8
0.051,16,16,10.2
0.051,16,8,6.7
0.051,16,4,4.54
0.051,16,2,3.5
0.051,16,1,2.84
0.051,17,17,10.8
0.051,17,1,3.01
0.051,18,18,10.81
0.051,18,9,7.2
0.051,18,6,5.76
0.051,18,3,4.26
0.051,18,2,3.79
0.051,18,1,3.08
