"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
314,"theta",-11.213,0.25,-44.783,0,0.998,0.048,14,20
314,"m0",-0.008,0.003,-2.748,0.014,0.998,0.048,14,20
314,"K",13.242,0.26,50.849,0,0.998,0.048,14,20
315,"theta",-11.696,0.251,-46.602,0,0.998,0.048,15,20
315,"m0",-0.011,0.003,-3.667,0.002,0.998,0.048,15,20
315,"K",14.351,0.248,57.924,0,0.998,0.048,15,20
316,"theta",220773.315,3478349.903,0.063,0.95,0.989,0.048,16,20
316,"m0",0.462,0.013,35.594,0,0.989,0.048,16,20
316,"K",13.436,0.594,22.6,0,0.989,0.048,16,20
317,"theta",282601.041,3036446.094,0.093,0.927,0.989,0.048,17,20
317,"m0",0.478,0.015,32.407,0,0.989,0.048,17,20
317,"K",14.175,0.589,24.083,0,0.989,0.048,17,20
318,"theta",234223.738,3927901.824,0.06,0.953,0.991,0.048,18,20
318,"m0",0.499,0.013,39.035,0,0.991,0.048,18,20
318,"K",14.928,0.622,24.011,0,0.991,0.048,18,20
319,"theta",207825.456,3008995.242,0.069,0.946,0.99,0.048,19,20
319,"m0",0.508,0.016,31.587,0,0.99,0.048,19,20
319,"K",15.848,0.802,19.769,0,0.99,0.048,19,20
320,"theta",293260.324,3945058.73,0.074,0.942,0.99,0.048,20,20
320,"m0",0.508,0.013,38.361,0,0.99,0.048,20,20
320,"K",16.873,0.647,26.076,0,0.99,0.048,20,20
321,"theta",137643.316,387901.594,0.355,0.727,0.984,0.051,1,20
321,"m0",0.114,0.004,30.348,0,0.984,0.051,1,20
321,"K",0.853,0.041,21.055,0,0.984,0.051,1,20
322,"theta",47349.367,395219.711,0.12,0.906,0.981,0.051,2,20
322,"m0",0.171,0.006,27.575,0,0.981,0.051,2,20
322,"K",1.665,0.097,17.105,0,0.981,0.051,2,20
323,"theta",-2.458,0.107,-22.977,0,0.993,0.051,3,20
323,"m0",-0.004,0.002,-1.55,0.14,0.993,0.051,3,20
323,"K",2.925,0.094,31.219,0,0.993,0.051,3,20
324,"theta",-3.246,0.111,-29.313,0,0.993,0.051,4,20
324,"m0",-0.003,0.002,-1.384,0.184,0.993,0.051,4,20
324,"K",3.719,0.137,27.152,0,0.993,0.051,4,20
325,"theta",-7.839,5.684,-1.379,0.186,0.996,0.051,5,20
325,"m0",-0.008,0.051,-0.165,0.871,0.996,0.051,5,20
325,"K",4.659,0.076,61.056,0,0.996,0.051,5,20
326,"theta",-4.902,0.166,-29.522,0,0.994,0.051,6,20
326,"m0",-0.005,0.003,-1.739,0.1,0.994,0.051,6,20
326,"K",5.76,0.178,32.327,0,0.994,0.051,6,20
327,"theta",95475.4,1105435.633,0.086,0.932,0.988,0.051,7,20
327,"m0",0.319,0.009,35.163,0,0.988,0.051,7,20
327,"K",5.814,0.253,22.99,0,0.988,0.051,7,20
328,"theta",70349.566,1315670.592,0.053,0.958,0.988,0.051,8,20
328,"m0",0.336,0.01,32.246,0,0.988,0.051,8,20
328,"K",6.757,0.287,23.534,0,0.988,0.051,8,20
329,"theta",-7.37,0.19,-38.799,0,0.996,0.051,9,20
329,"m0",-0.005,0.002,-2.039,0.057,0.996,0.051,9,20
329,"K",8.535,0.212,40.239,0,0.996,0.051,9,20
330,"theta",-8.269,0.21,-39.294,0,0.996,0.051,10,20
330,"m0",-0.004,0.002,-1.665,0.114,0.996,0.051,10,20
