"simulation","date","timesteps","m0","area","Js","nu","K","sp_rich"
25,260520,39420,0.002,20,20,0.01,2,2
25,260520,39420,0.004,40,40,0.01,4,5
25,260520,39420,0.006,60,60,0.01,6,9
25,260520,39420,0.008,80,80,0.01,8,10
25,260520,39420,0.01,100,100,0.01,10,16
25,260520,39420,0.012,120,120,0.01,12,19
25,260520,39420,0.014,140,140,0.01,14,30
25,260520,39420,0.016,160,160,0.01,16,22
25,260520,39420,0.018,180,180,0.01,18,29
25,260520,39420,0.02,200,200,0.01,20,33
25,260520,39420,0.022,220,220,0.01,22,37
25,260520,39420,0.024,240,240,0.01,24,42
25,260520,39420,0.026,260,260,0.01,26,48
25,260520,39420,0.028,280,280,0.01,28,53
25,260520,39420,0.03,300,300,0.01,30,59
25,260520,39420,0.032,320,320,0.01,32,66
25,260520,39420,0.034,340,340,0.01,34,56
25,260520,39420,0.036,360,360,0.01,36,76
25,260520,39420,0.038,380,380,0.01,38,78
25,260520,39420,0.04,400,400,0.01,40,95
26,260520,39420,0.002,20,20,0.01,2,2
26,260520,39420,0.004,40,40,0.01,4,6
26,260520,39420,0.006,60,60,0.01,6,10
26,260520,39420,0.008,80,80,0.01,8,11
26,260520,39420,0.01,100,100,0.01,10,20
26,260520,39420,0.012,120,120,0.01,12,22
26,260520,39420,0.014,140,140,0.01,14,23
26,260520,39420,0.016,160,160,0.01,16,27
26,260520,39420,0.018,180,180,0.01,18,30
26,260520,39420,0.02,200,200,0.01,20,31
26,260520,39420,0.022,220,220,0.01,22,48
26,260520,39420,0.024,240,240,0.01,24,42
26,260520,39420,0.026,260,260,0.01,26,48
26,260520,39420,0.028,280,280,0.01,28,62
26,260520,39420,0.03,300,300,0.01,30,58
26,260520,39420,0.032,320,320,0.01,32,61
26,260520,39420,0.034,340,340,0.01,34,58
26,260520,39420,0.036,360,360,0.01,36,75
26,260520,39420,0.038,380,380,0.01,38,80
26,260520,39420,0.04,400,400,0.01,40,79
27,260520,39420,0.002,20,20,0.01,2,3
27,260520,39420,0.004,40,40,0.01,4,5
27,260520,39420,0.006,60,60,0.01,6,12
27,260520,39420,0.008,80,80,0.01,8,12
27,260520,39420,0.01,100,100,0.01,10,15
27,260520,39420,0.012,120,120,0.01,12,17
27,260520,39420,0.014,140,140,0.01,14,19
27,260520,39420,0.016,160,160,0.01,16,22
27,260520,39420,0.018,180,180,0.01,18,24
27,260520,39420,0.02,200,200,0.01,20,32
27,260520,39420,0.022,220,220,0.01,22,38
27,260520,39420,0.024,240,240,0.01,24,47
27,260520,39420,0.026,260,260,0.01,26,57
27,260520,39420,0.028,280,280,0.01,28,50
27,260520,39420,0.03,300,300,0.01,30,50
27,260520,39420,0.032,320,320,0.01,32,62
27,260520,39420,0.034,340,340,0.01,34,65
27,260520,39420,0.036,360,360,0.01,36,76
27,260520,39420,0.038,380,380,0.01,38,85
27,260520,39420,0.04,400,400,0.01,40,86
28,260520,39420,0.002,20,20,0.01,2,3
28,260520,39420,0.004,40,40,0.01,4,7
28,260520,39420,0.006,60,60,0.01,6,7
28,260520,39420,0.008,80,80,0.01,8,12
28,260520,39420,0.01,100,100,0.01,10,12
28,260520,39420,0.012,120,120,0.01,12,22
28,260520,39420,0.014,140,140,0.01,14,23
28,260520,39420,0.016,160,160,0.01,16,32
28,260520,39420,0.018,180,180,0.01,18,36
28,260520,39420,0.02,200,200,0.01,20,32
28,260520,39420,0.022,220,220,0.01,22,38
28,260520,39420,0.024,240,240,0.01,24,43
28,260520,39420,0.026,260,260,0.01,26,51
28,260520,39420,0.028,280,280,0.01,28,59
28,260520,39420,0.03,300,300,0.01,30,60
28,260520,39420,0.032,320,320,0.01,32,48
28,260520,39420,0.034,340,340,0.01,34,68
28,260520,39420,0.036,360,360,0.01,36,75
28,260520,39420,0.038,380,380,0.01,38,76
28,260520,39420,0.04,400,400,0.01,40,89
29,260520,39420,0.002,20,20,0.01,2,5
29,260520,39420,0.004,40,40,0.01,4,5
29,260520,39420,0.006,60,60,0.01,6,11
29,260520,39420,0.008,80,80,0.01,8,14
29,260520,39420,0.01,100,100,0.01,10,15
29,260520,39420,0.012,120,120,0.01,12,18
29,260520,39420,0.014,140,140,0.01,14,31
29,260520,39420,0.016,160,160,0.01,16,21
29,260520,39420,0.018,180,180,0.01,18,29
29,260520,39420,0.02,200,200,0.01,20,31
29,260520,39420,0.022,220,220,0.01,22,35
29,260520,39420,0.024,240,240,0.01,24,42
29,260520,39420,0.026,260,260,0.01,26,47
29,260520,39420,0.028,280,280,0.01,28,47
29,260520,39420,0.03,300,300,0.01,30,63
29,260520,39420,0.032,320,320,0.01,32,65
29,260520,39420,0.034,340,340,0.01,34,64
