"sim_number","migration_rates","area","K_num","island_species","estimated_sp_rich"
1,0.042,130,13,13,13.13
1,0.042,140,14,12,14.14
1,0.042,150,15,18,15.15
1,0.042,160,16,19,16.16
1,0.042,170,17,21,17.17
1,0.042,180,18,21,18.18
1,0.042,190,19,20,19.19
1,0.042,200,20,20,20.2
1,0.043,10,1,2,1.01
1,0.043,20,2,2,2.02
1,0.043,30,3,6,3.03
1,0.043,40,4,6,4.04
1,0.043,50,5,8,5.05
1,0.043,60,6,7,6.06
1,0.043,70,7,14,7.07
1,0.043,80,8,10,8.08
1,0.043,90,9,15,9.09
1,0.043,100,10,14,10.1
1,0.043,110,11,18,11.11
1,0.043,120,12,12,12.12
1,0.043,130,13,12,13.13
1,0.043,140,14,18,14.14
1,0.043,150,15,18,15.15
1,0.043,160,16,16,16.16
1,0.043,170,17,19,17.17
1,0.043,180,18,22,18.18
1,0.043,190,19,20,19.19
1,0.043,200,20,16,20.2
1,0.044,10,1,2,1.01
1,0.044,20,2,3,2.02
1,0.044,30,3,6,3.03
1,0.044,40,4,8,4.04
1,0.044,50,5,8,5.05
1,0.044,60,6,8,6.06
1,0.044,70,7,8,7.07
1,0.044,80,8,13,8.08
1,0.044,90,9,14,9.09
1,0.044,100,10,13,10.1
1,0.044,110,11,10,11.11
