"Area","Migration","SimRich","ModelRich"
100,0.026,10.63,10.07
110,0.026,11.47,11.08
120,0.026,12.13,12.09
130,0.026,12.71,13.1
140,0.026,13.35,14.1
150,0.026,13.92,15.11
160,0.026,14.63,16.12
170,0.026,15.2,17.13
180,0.026,15.19,18.13
190,0.026,15.97,19.14
200,0.026,16.51,20.15
10,0.027,1.68,1.01
20,0.027,3.13,2.01
30,0.027,4.46,3.02
40,0.027,5.51,4.03
50,0.027,6.75,5.04
60,0.027,7.46,6.05
70,0.027,8.42,7.05
80,0.027,9.47,8.06
90,0.027,10.19,9.07
100,0.027,10.38,10.08
110,0.027,11.5,11.08
120,0.027,11.99,12.09
130,0.027,12.47,13.1
140,0.027,13.56,14.11
150,0.027,14.14,15.11
160,0.027,14.38,16.12
170,0.027,14.71,17.13
180,0.027,15.21,18.14
190,0.027,15.93,19.15
200,0.027,16.75,20.15
10,0.028,1.57,1.01
20,0.028,3.17,2.01
30,0.028,4.49,3.02
40,0.028,5.87,4.03
50,0.028,6.48,5.04
60,0.028,7.99,6.05
70,0.028,8.09,7.05
80,0.028,9.55,8.06
90,0.028,10.6,9.07
100,0.028,10.9,10.08
110,0.028,11.43,11.09
120,0.028,12.55,12.09
130,0.028,13.01,13.1
140,0.028,13.43,14.11
150,0.028,13.85,15.12
160,0.028,14.84,16.12
170,0.028,15.6,17.13
180,0.028,15.78,18.14
190,0.028,15.99,19.15
200,0.028,16.29,20.16
10,0.029,1.67,1.01
20,0.029,3.17,2.02
30,0.029,4.76,3.02
40,0.029,5.66,4.03
50,0.029,6.54,5.04
60,0.029,7.64,6.05
70,0.029,8.81,7.06
80,0.029,9.62,8.06
90,0.029,10.11,9.07
100,0.029,11.08,10.08
110,0.029,11.66,11.09
120,0.029,11.85,12.1
130,0.029,12.67,13.1
140,0.029,13.56,14.11
150,0.029,14.49,15.12
160,0.029,14.84,16.13
170,0.029,15.41,17.14
180,0.029,15.76,18.14
190,0.029,16,19.15
200,0.029,17.13,20.16
10,0.03,1.74,1.01
20,0.03,3.36,2.02
30,0.03,4.56,3.02
40,0.03,5.54,4.03
50,0.03,6.58,5.04
60,0.03,8.26,6.05
70,0.03,8.6,7.06
80,0.03,9.49,8.06
90,0.03,10.28,9.07
100,0.03,11.48,10.08
110,0.03,11.44,11.09
120,0.03,12.63,12.1
130,0.03,13.29,13.11
140,0.03,13.59,14.11
150,0.03,14.36,15.12
160,0.03,14.79,16.13
170,0.03,15.18,17.14
180,0.03,15.67,18.15
190,0.03,16.09,19.16
200,0.03,17.04,20.16
10,0.031,1.63,1.01
20,0.031,3.45,2.02
30,0.031,4.64,3.02
40,0.031,5.69,4.03
50,0.031,6.92,5.04
60,0.031,7.76,6.05
70,0.031,8.47,7.06
80,0.031,9.76,8.07
90,0.031,10.59,9.07
100,0.031,11.02,10.08
110,0.031,11.78,11.09
120,0.031,12.25,12.1
130,0.031,12.95,13.11
140,0.031,13.82,14.12
150,0.031,14.22,15.12
160,0.031,14.73,16.13
170,0.031,15.39,17.14
180,0.031,16.02,18.15
190,0.031,15.87,19.16
200,0.031,16.76,20.17
10,0.032,1.67,1.01
20,0.032,3.19,2.02
30,0.032,4.75,3.02
40,0.032,5.98,4.03
50,0.032,7.03,5.04
60,0.032,7.96,6.05
70,0.032,8.43,7.06
80,0.032,9.59,8.07
90,0.032,10.64,9.08
100,0.032,10.99,10.08
110,0.032,11.91,11.09
120,0.032,12.81,12.1
130,0.032,13.51,13.11
140,0.032,13.59,14.12
150,0.032,14.74,15.13
160,0.032,14.92,16.14
170,0.032,15.37,17.14
180,0.032,16.17,18.15
190,0.032,16.81,19.16
200,0.032,16.98,20.17
10,0.033,1.81,1.01
20,0.033,3.24,2.02
30,0.033,4.68,3.03
40,0.033,5.88,4.03
50,0.033,7.04,5.04
60,0.033,7.93,6.05
70,0.033,8.95,7.06
80,0.033,9.6,8.07
90,0.033,10.49,9.08
100,0.033,11.21,10.09
110,0.033,12.11,11.09
120,0.033,12.41,12.1
130,0.033,12.94,13.11
140,0.033,14.27,14.12
150,0.033,14.3,15.13
160,0.033,15.28,16.14
