Date,Author,Title,Well Number,ImmigrationRate,ATP Count,Tube Number,ImmigrationRatePowers
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B12,NA,6,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C1,1,7,1,10^0
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C2,1,8,2,10^0
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C3,1,10,3,10^0
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C4,0.1,4,1,10^-1
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C5,0.1,6,2,10^-1
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C6,0.1,3,3,10^-1
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C7,0,26,1,PBS Control
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C8,0,8,2,PBS Control
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C9,0,8,3,PBS Control
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C10,NA,6,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C11,NA,10,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,C12,NA,6,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,D1,NA,7,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,D2,NA,8,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,D3,NA,10,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,D4,NA,7,NA,NA
27-Feb,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,D5,NA,8,NA,NA
