"sim_number","migration_rates","area","K_num","island_species"
"1","0.03","40","4","6"
"1","0.03","50","5","4"
"1","0.03","60","6","9"
"1","0.03","70","7","10"
"1","0.03","80","8","14"
"1","0.03","90","9","13"
"1","0.03","100","10","16"
"1","0.03","110","11","9"
"1","0.03","120","12","15"
"1","0.03","130","13","14"
"1","0.03","140","14","11"
"1","0.03","150","15","14"
"1","0.03","160","16","15"
"1","0.03","170","17","17"
"1","0.03","180","18","17"
"1","0.03","190","19","17"
"1","0.03","200","20","22"
"1","0.031","10","1","1"
"1","0.031","20","2","3"
"1","0.031","30","3","4"
"1","0.031","40","4","6"
"1","0.031","50","5","11"
"1","0.031","60","6","11"
"1","0.031","70","7","14"
"1","0.031","80","8","9"
"1","0.031","90","9","8"
"1","0.031","100","10","11"
"1","0.031","110","11","14"
"1","0.031","120","12","13"
"1","0.031","130","13","13"
"1","0.031","140","14","14"
"1","0.031","150","15","15"
"1","0.031","160","16","15"
"1","0.031","170","17","21"
"1","0.031","180","18","16"
"1","0.031","190","19","21"
"1","0.031","200","20","18"
"1","0.032","10","1","1"
"1","0.032","20","2","2"
"1","0.032","30","3","3"
"1","0.032","40","4","5"
"1","0.032","50","5","6"
"1","0.032","60","6","10"
"1","0.032","70","7","9"
"1","0.032","80","8","10"
"1","0.032","90","9","9"
"1","0.032","100","10","16"
"1","0.032","110","11","9"
"1","0.032","120","12","14"
"1","0.032","130","13","13"
"1","0.032","140","14","14"
"1","0.032","150","15","19"
"1","0.032","160","16","16"
"1","0.032","170","17","18"
"1","0.032","180","18","15"
"1","0.032","190","19","16"
"1","0.032","200","20","15"
"1","0.033","10","1","2"
"1","0.033","20","2","4"
"1","0.033","30","3","6"
"1","0.033","40","4","4"
"1","0.033","50","5","6"
"1","0.033","60","6","8"
"1","0.033","70","7","12"
"1","0.033","80","8","14"
"1","0.033","90","9","10"
"1","0.033","100","10","9"
"1","0.033","110","11","10"
"1","0.033","120","12","11"
"1","0.033","130","13","13"
"1","0.033","140","14","16"
"1","0.033","150","15","19"
"1","0.033","160","16","14"
"1","0.033","170","17","21"
"1","0.033","180","18","14"
"1","0.033","190","19","18"
"1","0.033","200","20","20"
"1","0.034","10","1","2"
"1","0.034","20","2","3"
"1","0.034","30","3","7"
"1","0.034","40","4","7"
"1","0.034","50","5","8"
"1","0.034","60","6","9"
"1","0.034","70","7","10"
"1","0.034","80","8","14"
"1","0.034","90","9","15"
"1","0.034","100","10","11"
"1","0.034","110","11","13"
"1","0.034","120","12","14"
"1","0.034","130","13","15"
"1","0.034","140","14","15"
"1","0.034","150","15","17"
"1","0.034","160","16","17"
"1","0.034","170","17","17"
"1","0.034","180","18","15"
"1","0.034","190","19","19"
"1","0.034","200","20","14"
"1","0.035","10","1","1"
"1","0.035","20","2","3"
"1","0.035","30","3","3"
"1","0.035","40","4","4"
"1","0.035","50","5","7"
"1","0.035","60","6","6"
"1","0.035","70","7","10"
"1","0.035","80","8","10"
"1","0.035","90","9","13"
"1","0.035","100","10","11"
"1","0.035","110","11","15"
"1","0.035","120","12","15"
"1","0.035","130","13","15"
"1","0.035","140","14","18"
"1","0.035","150","15","16"
"1","0.035","160","16","20"
"1","0.035","170","17","23"
"1","0.035","180","18","15"
"1","0.035","190","19","19"
"1","0.035","200","20","19"
"1","0.036","10","1","1"
"1","0.036","20","2","5"
"1","0.036","30","3","4"
"1","0.036","40","4","7"
"1","0.036","50","5","7"
"1","0.036","60","6","8"
"1","0.036","70","7","11"
"1","0.036","80","8","16"
"1","0.036","90","9","14"
"1","0.036","100","10","11"
"1","0.036","110","11","17"
"1","0.036","120","12","16"
"1","0.036","130","13","20"
"1","0.036","140","14","10"
"1","0.036","150","15","18"
"1","0.036","160","16","14"
"1","0.036","170","17","13"
"1","0.036","180","18","22"
"1","0.036","190","19","19"
"1","0.036","200","20","16"
"1","0.037","10","1","3"
"1","0.037","20","2","4"
"1","0.037","30","3","4"
"1","0.037","40","4","4"
"1","0.037","50","5","9"
"1","0.037","60","6","10"
"1","0.037","70","7","12"
"1","0.037","80","8","10"
"1","0.037","90","9","13"
"1","0.037","100","10","15"
"1","0.037","110","11","14"
"1","0.037","120","12","13"
"1","0.037","130","13","15"
"1","0.037","140","14","14"
"1","0.037","150","15","17"
"1","0.037","160","16","17"
"1","0.037","170","17","19"
"1","0.037","180","18","18"
"1","0.037","190","19","16"
"1","0.037","200","20","18"
"1","0.038","10","1","3"
"1","0.038","20","2","4"
"1","0.038","30","3","6"
"1","0.038","40","4","6"
"1","0.038","50","5","10"
"1","0.038","60","6","9"
"1","0.038","70","7","9"
"1","0.038","80","8","12"
"1","0.038","90","9","13"
"1","0.038","100","10","13"
"1","0.038","110","11","14"
"1","0.038","120","12","12"
"1","0.038","130","13","16"
"1","0.038","140","14","14"
"1","0.038","150","15","15"
"1","0.038","160","16","19"
"1","0.038","170","17","14"
"1","0.038","180","18","18"
"1","0.038","190","19","15"
"1","0.038","200","20","18"
"1","0.039","10","1","1"
"1","0.039","20","2","4"
"1","0.039","30","3","6"
"1","0.039","40","4","5"
"1","0.039","50","5","8"
"1","0.039","60","6","10"
"1","0.039","70","7","12"
"1","0.039","80","8","10"
