"migration_rate","area","niches","mean_sp"
0.033,13,13,13
0.033,13,1,1.78
0.033,14,14,14
0.033,14,7,7.35
0.033,14,2,2.65
0.033,14,1,1.83
0.033,15,15,15
0.033,15,5,5.47
0.033,15,3,3.58
0.033,15,1,1.78
0.033,16,16,16
0.033,16,8,8.27
0.033,16,4,4.69
0.033,16,2,2.85
0.033,16,1,1.98
0.033,17,17,17
0.033,17,1,2.09
0.033,18,18,18
0.033,18,9,9.43
0.033,18,6,6.63
0.033,18,3,3.8
0.033,18,2,2.9
0.033,18,1,2.14
0.033,19,19,19
0.033,19,1,1.94
0.033,20,20,20
0.033,20,10,10.44
0.033,20,5,5.91
0.033,20,4,4.96
0.033,20,2,3.11
0.033,20,1,2.15
0.036,1,1,1
0.036,2,2,2
0.036,2,1,1.07
0.036,3,3,3
0.036,3,1,1.12
0.036,4,4,4
0.036,4,2,2.1
0.036,4,1,1.16
0.036,5,5,5
0.036,5,1,1.35
0.036,6,6,6
0.036,6,3,3.12
0.036,6,2,2.18
0.036,6,1,1.28
0.036,7,7,7
0.036,7,1,1.39
0.036,8,8,8
0.036,8,4,4.26
0.036,8,2,2.37
0.036,8,1,1.45
0.036,9,9,9
0.036,9,3,3.45
0.036,9,1,1.65
0.036,10,10,10
0.036,10,5,5.31
0.036,10,2,2.44
0.036,10,1,1.62
0.036,11,11,11
0.036,11,1,1.64
0.036,12,12,12
0.036,12,6,6.3
0.036,12,4,4.42
0.036,12,3,3.64
0.036,12,2,2.63
0.036,12,1,1.85
0.036,13,13,13
0.036,13,1,1.8
0.036,14,14,14
0.036,14,7,7.38
0.036,14,2,2.79
0.036,14,1,1.75
0.036,15,15,15
0.036,15,5,5.45
0.036,15,3,3.68
0.036,15,1,2
0.036,16,16,16
0.036,16,8,8.32
0.036,16,4,4.68
0.036,16,2,3.01
0.036,16,1,1.82
0.036,17,17,17
0.036,17,1,2.03
0.036,18,18,18
0.036,18,9,9.4
0.036,18,6,6.67
0.036,18,3,3.79
0.036,18,2,2.94
0.036,18,1,2.1
0.036,19,19,19
0.036,19,1,2.22
0.036,20,20,20
0.036,20,10,10.6
0.036,20,5,5.73
0.036,20,4,5.07
0.036,20,2,3.18
0.036,20,1,2.26
0.039,1,1,1
0.039,2,2,2
0.039,2,1,1.06
0.039,3,3,3
0.039,3,1,1.11
0.039,4,4,4
0.039,4,2,2.06
0.039,4,1,1.25
0.039,5,5,5
0.039,5,1,1.28
0.039,6,6,6
0.039,6,3,3.17
0.039,6,2,2.28
0.039,6,1,1.37
0.039,7,7,7
0.039,7,1,1.4
0.039,8,8,8
0.039,8,4,4.29
0.039,8,2,2.42
0.039,8,1,1.41
0.039,9,9,9
0.039,9,3,3.35
0.039,9,1,1.54
0.039,10,10,10
0.039,10,5,5.4
0.039,10,2,2.4
0.039,10,1,1.48
0.039,11,11,11
0.039,11,1,1.79
0.039,12,12,12
0.039,12,6,6.36
0.039,12,4,4.42
0.039,12,3,3.48
0.039,12,2,2.7
0.039,12,1,1.85
0.039,13,13,13
0.039,13,1,1.81
0.039,14,14,14
0.039,14,7,7.32
0.039,14,2,2.97
0.039,14,1,1.71
0.039,15,15,15
0.039,15,5,5.58
0.039,15,3,3.78
0.039,15,1,1.95
0.039,16,16,16
0.039,16,8,8.37
0.039,16,4,4.67
0.039,16,2,3.12
0.039,16,1,1.95
0.039,17,17,17
0.039,17,1,2.18
0.039,18,18,18
0.039,18,9,9.54
0.039,18,6,6.56
0.039,18,3,3.99
0.039,18,2,3.09
0.039,18,1,2.1
0.039,19,19,19
0.039,19,1,2.21
0.039,20,20,20
0.039,20,10,10.63
0.039,20,5,6.04
0.039,20,4,4.96
0.039,20,2,3.36
0.039,20,1,2.2
0.042,1,1,1
0.042,2,2,2
0.042,2,1,1.11
0.042,3,3,3
0.042,3,1,1.1
0.042,4,4,4
0.042,4,2,2.1
0.042,4,1,1.23
0.042,5,5,5
0.042,5,1,1.27
0.042,6,6,6
0.042,6,3,3.21
0.042,6,2,2.18
0.042,6,1,1.43
0.042,7,7,7
0.042,7,1,1.4
0.042,8,8,8
0.042,8,4,4.26
0.042,8,2,2.44
0.042,8,1,1.47
0.042,9,9,9
0.042,9,3,3.51
0.042,9,1,1.52
0.042,10,10,10
0.042,10,5,5.32
0.042,10,2,2.58
0.042,10,1,1.63
0.042,11,11,11
0.042,11,1,1.75
0.042,12,12,12
0.042,12,6,6.38
0.042,12,4,4.53
0.042,12,3,3.54
0.042,12,2,2.73
0.042,12,1,1.75
0.042,13,13,13
0.042,13,1,2
0.042,14,14,14
0.042,14,7,7.38
0.042,14,2,3
0.042,14,1,1.98
0.042,15,15,15
0.042,15,5,5.71
0.042,15,3,3.8
0.042,15,1,1.96
0.042,16,16,16
0.042,16,8,8.53
0.042,16,4,4.94
0.042,16,2,2.94
0.042,16,1,2.12
0.042,17,17,17
0.042,17,1,2.23
0.042,18,18,18
0.042,18,9,9.47
0.042,18,6,6.78
0.042,18,3,4.12
0.042,18,2,3.24
0.042,18,1,2.28
